CumOil12Month,rowID,Operator,Reservoir,LateralLength_FT,ProppantIntensity_LBSPerFT,FluidIntensity_BBLPerFT
18181.248046875,772,SABLE,WOLFCAMP B,10695,1730,22
23652.142578125,774,SABLE,WOLFCAMP B,10879,1745,22
182986.296875,810,CRWNQST,WOLFCAMP B,10052,1955,47
151415.953125,811,CRWNQST,WOLFCAMP B,10232,1920,47
170411.0625,814,CRWNQST,WOLFCAMP A,10232,1910,47
214004.578125,815,CRWNQST,WOLFCAMP A,10232,1923,49
385484.34375,817,XOM,WOLFCAMP B,12928,1700,59
171150.65625,818,XOM,WOLFCAMP A,12917,1696,57
363163.46875,819,XOM,WOLFCAMP B,12938,1702,59
164250.515625,820,XOM,WOLFCAMP A,12921,1708,60
385977.84375,821,XOM,WOLFCAMP B,12960,1704,54
182553.15625,822,XOM,WOLFCAMP A,12910,1711,49
386124.15625,823,XOM,WOLFCAMP B,12917,1713,65
204711.84375,824,XOM,WOLFCAMP A,12916,1434,73
186491.4375,825,CRWNQST,WOLFCAMP A,10127,1773,39
92155.5625,826,CRWNQST,WOLFCAMP A,10127,1790,42
199570,828,CRWNQST,WOLFCAMP A,10177,1746,40
93906,852,LPI,WOLFCAMP A,10022,1961,50
103514.9921875,855,LPI,WOLFCAMP A,10022,984,49
123222,864,SABLE,WOLFCAMP B,10534,1910,37
71350.015625,868,SABLE,WOLFCAMP B,10524,1759,23
66334.078125,869,SABLE,WOLFCAMP A,10170,1841,24
82079.8671875,870,SABLE,WOLFCAMP B,10307,1844,23
78032.2578125,871,SABLE,WOLFCAMP B,10450,1786,23
38716.05078125,872,SABLE,WOLFCAMP B,10573,1767,26
149776,873,SABLE,WOLFCAMP B,10307,1821,41
40366.6640625,874,SABLE,WOLFCAMP C,10185,1799,26
79343,875,SABLE,WOLFCAMP B,10596,2541,55
168569.515625,877,PXD,WOLFCAMP B,10433,1677,44
92243.4765625,878,PXD,WOLFCAMP B,10406,1643,43
184411,879,PXD,WOLFCAMP B,10407,1760,46
117410.234375,898,COP,WOLFCAMP A,10348,2168,57
136476,903,LPI,WOLFCAMP A,9936,1413,53
104646,904,LPI,WOLFCAMP A,9936,2193,39
288360.4375,938,COP,WOLFCAMP A,10031,1839,74
151520.015625,969,SM,WOLFCAMP B,10337,1859,61
113163,970,SM,WOLFCAMP B,10372,1859,61
106381,971,SM,WOLFCAMP B,10376,1852,60
140979,974,SM,WOLFCAMP A,10389,1880,52
203091,975,SM,SPRABERRY LOWER,10383,1885,53
181423,979,LPI,WOLFCAMP A,10113,1870,58
303762.09375,980,PXD,WOLFCAMP B,10313,1794,43
140335.921875,981,PXD,WOLFCAMP B,10293,1727,44
211752,982,PXD,WOLFCAMP B,10119,1877,44
126785.5,997,FANG,WOLFCAMP B,10012,1918,50
175843.46875,1035,XOM,WOLFCAMP B,10338,1688,60
268869.59375,1036,XOM,WOLFCAMP B,10333,1706,60
158641.078125,1037,XOM,WOLFCAMP B,10204,1743,55
132218.125,1038,XOM,WOLFCAMP B,10310,1409,52
143922.796875,1039,XOM,WOLFCAMP A,10233,1671,62
172161.234375,1040,XOM,WOLFCAMP A,10335,1710,63
256230.09375,1041,XOM,WOLFCAMP A,10203,1691,55
139551.703125,1042,XOM,WOLFCAMP A,10203,1414,54
144016.078125,1043,XOM,SPRABERRY LOWER,10318,1708,62
165633.125,1044,XOM,SPRABERRY LOWER,10325,1406,57
351161.875,1056,OVV,SPRABERRY LOWER,10489,2273,50
177573.671875,1057,OVV,SPRABERRY LOWER,10818,2290,56
417826.3125,1058,OVV,SPRABERRY LOWER,10181,2375,58
248916.015625,1059,OVV,SPRABERRY LOWER,10172,2302,57
109241.265625,1060,ENDVR,WOLFCAMP B,10257,1630,45
89599.1484375,1063,ENDVR,WOLFCAMP A,10334,1573,45
131633.90625,1064,ENDVR,WOLFCAMP A,10337,1608,45
103984.84375,1065,ENDVR,WOLFCAMP B,10341,1606,45
152858.421875,1066,ENDVR,WOLFCAMP B,10341,1602,40
151355.765625,1067,ENDVR,WOLFCAMP A,10343,1603,42
137628.078125,1068,ENDVR,WOLFCAMP A,10271,1590,40
128261.2734375,1069,ENDVR,WOLFCAMP A,10353,1598,40
200025.6875,1070,ENDVR,WOLFCAMP B,10338,1604,41
104221,1105,DISCOVERY,WOLFCAMP A,14851,1940,36
105760.0078125,1106,DISCOVERY,WOLFCAMP B,14731,1949,36
94322.9921875,1107,DISCOVERY,WOLFCAMP B,10280,1430,41
88925,1108,DISCOVERY,WOLFCAMP A,10566,1889,33
70366,1109,DISCOVERY,WOLFCAMP B,10895,1719,30
104398,1110,DISCOVERY,WOLFCAMP A,10471,1900,33
73396,1111,DISCOVERY,WOLFCAMP A,10496,1895,34
53992,1112,DISCOVERY,WOLFCAMP B,10430,2130,55
65380,1113,DISCOVERY,WOLFCAMP B,10605,2387,49
46347,1114,DISCOVERY,WOLFCAMP A,10445,2160,52
41050,1115,DISCOVERY,WOLFCAMP A,10495,2232,44
48845.00390625,1116,DISCOVERY,WOLFCAMP A,10500,2260,45
57631.99609375,1117,DISCOVERY,WOLFCAMP B,10490,2042,52
54967,1118,DISCOVERY,WOLFCAMP A,10470,2153,51
60895,1119,DISCOVERY,WOLFCAMP A,10595,2299,44
61413,1120,DISCOVERY,WOLFCAMP B,10720,2140,53
77380,1121,DISCOVERY,WOLFCAMP B,11392,1734,42
69886,1122,DISCOVERY,WOLFCAMP A,11416,1731,42
66372,1123,DISCOVERY,WOLFCAMP B,11441,1727,41
120437,1124,DISCOVERY,WOLFCAMP B,10742,1713,53
67447,1125,DISCOVERY,WOLFCAMP A,10931,1838,51
63985,1126,DISCOVERY,WOLFCAMP B,11010,1801,46
133850,1128,DRIFTWOOD,WOLFCAMP B,10096,2605,72
128067,1162,SM,SPRABERRY LOWER,10356,1855,58
150653,1163,SM,SPRABERRY LOWER,10377,1857,59
203719,1167,SM,SPRABERRY LOWER,10357,1851,60
118281,1169,SUMMIT,WOLFCAMP B,10938,2385,44
116545,1170,SUMMIT,WOLFCAMP B,10928,2428,47
95978,1171,SUMMIT,SPRABERRY LOWER,10266,2577,45
104855,1172,SUMMIT,SPRABERRY LOWER,10594,2542,47
127705,1188,SUMMIT,WOLFCAMP B,10433,2353,47
99320,1189,SUMMIT,WOLFCAMP A,10952,1750,44
137805.234375,1198,SM,WOLFCAMP A,10396,1863,52
376445.53125,1199,SM,WOLFCAMP A,10378,1858,51
193141.765625,1200,SM,WOLFCAMP A,10359,1864,54
146567.3125,1201,SM,WOLFCAMP A,10365,1867,54
73312.3203125,1203,SM,WOLFCAMP B,10369,3747,55
240228.421875,1204,QEP,WOLFCAMP A,9907,1808,45
77944.859375,1205,QEP,SPRABERRY LOWER,9989,1513,37
192177,1213,PXD,SPRABERRY LOWER,10074,1891,55
192145,1216,PXD,WOLFCAMP B,9942,1971,54
220751.984375,1217,PXD,WOLFCAMP B,10062,1969,54
175368,1218,PXD,WOLFCAMP B,9942,1962,53
220785,1231,PXD,WOLFCAMP A,9921,1370,48
201799,1232,PXD,WOLFCAMP A,10137,1370,48
73954.4921875,1234,OXY,WOLFCAMP A,10156,1352.5,29
102721.7578125,1235,OXY,WOLFCAMP A,10107,1352.5,29
117900.671875,1236,OXY,WOLFCAMP A,9952,1599,37
99657,1265,XOM,WOLFCAMP B,10203,1101,24
112824,1266,XOM,WOLFCAMP B,10263,1115,37
123507,1267,XOM,WOLFCAMP B,10263,1513,36
142321,1268,XOM,WOLFCAMP A,10203,1515,57
90290.0078125,1269,XOM,WOLFCAMP A,10259,1109,27
125846.9921875,1270,XOM,WOLFCAMP A,10348,1202,46
101207,1271,XOM,WOLFCAMP A,10263,1521,35
100033.71875,1285,COP,WOLFCAMP B,10280,2020,57
142384.1875,1286,COP,WOLFCAMP B,10143,2016,57
332834,1289,PXD,WOLFCAMP B,10037,2258,40
274052,1290,PXD,WOLFCAMP B,10037,2244,40
258797,1293,PXD,WOLFCAMP A,10037,2013,41
69271,1299,HUNT,WOLFCAMP A,10349,1598,37
228149.296875,1319,ENDVR,WOLFCAMP B,10021,1600,43
196611.703125,1320,ENDVR,WOLFCAMP A,10021,1606,42
227227.5625,1321,FASKEN,SPRABERRY LOWER,9923,1441,50
175881.578125,1322,FASKEN,WOLFCAMP B,10674,1027,26
120960.7421875,1323,FASKEN,SPRABERRY LOWER,10624,1160,40
