CumOil12Month,rowID,Operator,CompletionDate,Reservoir,LateralLength_FT,ProppantIntensity_LBSPerFT,FluidIntensity_BBLPerFT,HzDistanceToNearestOffsetAtDrill,HzDistanceToNearestOffsetCurrent,VtDistanceToNearestOffsetCurrent,VtDistanceToNearestOffsetAtDrill,WellDepth,ReservoirThickness,OilInPlace,Porosity,ReservoirPressure,WaterSaturation,StructureDerivative,TotalOrganicCarbon,ClayVolume,CarbonateVolume,Maturity,TotalWellCost_USDMM
129858.0000,4788,LGCY,3/15/2016,SPRABERRY LOWER SHALE,7692.0000,515.0000,,582.5160,624.0930,31.1860,31.8170,4400.2690,,20721.2560,0.0540,2163.7017,0.3720,0.0150,2.7424,0.1980,0.1570,0.8670,2.7577
139221.0000,4789,LGCY,2/27/2016,WOLFCAMP A,7701.0000,1487.0000,,582.2620,612.0420,7.9780,9.3730,4877.2520,,21385.3510,0.0500,2804.9429,0.2990,0.0140,2.1601,0.1930,0.3190,0.8670,4.0596
105709.0000,4790,LGCY,7/26/2017,SPRABERRY LOWER SHALE,7656.0000,,,303.8300,303.8300,64.8250,64.8250,4351.3540,,15562.5800,0.0580,2036.8742,0.5840,0.0150,2.7775,0.2220,0.1200,0.8650,4.5417
87928.0000,4791,LGCY,11/8/2016,WOLFCAMP A,7610.0000,,,740.8390,660.1220,17.7580,26.1420,4886.6250,,19574.0200,0.0460,2745.8217,0.2850,0.0160,2.1320,0.1900,0.3310,0.8660,4.2969
186470.0000,4792,FANG,7/21/2016,WOLFCAMP B,10018.0000,1623.0000,43.0000,311.5830,375.9480,256.1630,243.5830,6072.0280,383.0000,11735.9390,0.0660,3680.3363,0.6920,0.0060,2.7293,0.1760,0.2370,0.8040,5.5539
204080.0156,4793,FANG,7/21/2016,WOLFCAMP B,10081.0000,1607.0000,43.0000,728.5050,296.0050,247.5570,22.3920,6049.6360,374.0240,11746.4100,0.0530,4021.4210,0.6420,0.0080,2.7583,0.1590,0.2760,0.7970,5.5454
158591.0000,4794,FANG,8/9/2017,WOLFCAMP B,10116.0000,,40.0000,333.5520,340.0010,240.6660,238.1280,6028.6090,366.6470,11755.1130,0.0530,4026.8922,0.6540,0.0080,2.7453,0.1570,0.2800,0.7940,5.3693
188146.0000,4795,FANG,8/9/2017,WOLFCAMP A,10101.0000,,36.0000,321.8050,321.8050,239.4920,239.4920,5785.4050,,25980.8390,0.0680,3266.7081,0.3640,0.0050,3.0944,0.2050,0.2020,0.7930,5.2908
194258.0000,4796,FANG,8/9/2017,WOLFCAMP B,10051.0000,913.0000,40.0000,321.2460,487.8720,162.6270,239.4920,6024.8970,366.6470,11269.4250,0.0540,3948.9821,0.6750,0.0070,2.7361,0.1590,0.2750,0.7930,4.5605
150317.0000,4797,FANG,7/20/2017,WOLFCAMP A,10001.0000,,37.0000,305.3740,308.9850,240.5830,237.5820,5828.4450,,28399.1300,0.0690,3304.1533,0.3290,0.0090,3.0789,0.2040,0.2150,0.7990,5.2819
