CumOil12Month,rowID,Operator,CompletionDate,DaysSinceStruck,Reservoir,LateralLength_FT,ProppantIntensity_LBSPerFT,FluidIntensity_BBLPerFT,HzDistanceToNearestOffsetAtDrill,HzDistanceToNearestOffsetCurrent,VtDistanceToNearestOffsetCurrent,VtDistanceToNearestOffsetAtDrill,WellDepth,PSI_PerSqf_Thick,ReservoirThickness,OilInPlace,Porosity,ReservoirPressure,WaterSaturation,StructureDerivative,TotalOrganicCarbon,ClayVolume,CarbonateVolume,Maturity,TotalWellCost_USDMM
117376,60,OXY,2017-09-08,1773,WOLFCAMP B,9780,1780,52,803.668541598695,649.201341761826,176.282343800979,175.886101141925,6061.60107421875,0.137464100670505,476.804,16047.104,0.074,3468.57105,0.722,0.013,2.482516533,0.228,0.189,0.938,6.61149978637695
104092.5546875,61,ENDVR,2018-04-30,1539,WOLFCAMP B,10216,1598,39,223.522,223.522,500,209.006,6557.439,7.40637271758093e-02,287.648,6681.643,0.067,3883.7905,0.757,0.015,3.120767641,0.193,0.172,0.815,5.77454090118408
183989.4375,62,ENDVR,2018-04-27,1542,WOLFCAMP A,10195,1594,39,223.693,223.693,209.006,209.006,6348.433,2.27041685463024,8250,14686.699,0.054,3633.693955,0.489,0.014,2.432586749,0.198,0.282,0.815,5.80769014358521
136757.125,63,GUIDON,2018-12-19,1306,SPRABERRY LOWER,8211,2516,61,332.261,303.848,214.885,218.546,6534.141,2.21764811922459,7250,22629.696,0.059,3269.229206,0.507,0.013,2.739816856,0.221,0.147,0.895,7.26149654388428
102194.484375,64,FANG,2014-11-01,2815,WOLFCAMP A,7727,1590,39,834.76,451.863,24.477,28.103,4716.336,2.78668103603261,8250,25340.338,0.063,2960.51105,0.284,0.024,2.75732784,0.21,0.254,0.816,3.7450110912323
22599.517578125,65,FANG,2014-11-22,2794,WOLFCAMP B,4524,142,6,69.007,69.007,295.507,90.044,5011.843,0.183896027620754,431.694,14161.83075,0.06,2347.489533,0.639,0.022,2.369362494,0.215,0.189,0.82,1.73271071910858
87617,66,FANG,2016-02-18,2341,WOLFCAMP A,7673,1643,42,840.129,838.083,26.332,24.56,4744.439,2.863433743231,8250,18968.431,0.053,2881.156241,0.344,0.024,2.568102755,0.205,0.279,0.814,4.29455327987671
109771,67,FANG,2016-02-29,2330,WOLFCAMP A,7724,1673,43,842.076,842.076,5.614,5.614,4719.879,2.74780661374703,8250,20173.579,0.054,3002.394695,0.334,0.024,2.577432783,0.206,0.27,0.812,4.36101484298706
111107,68,FANG,2016-01-06,2384,WOLFCAMP A,7563,1619,42,899.794,899.794,5.614,5.614,4714.265,2.94521837173285,8250,17528.499,0.05,2801.150529,0.363,0.024,2.490500879,0.203,0.283,0.809,4.2200493812561
107213,69,FANG,2015-12-31,2390,WOLFCAMP A,7239,1590,39,603.061,40.359,73.058,2.403,4641.208,3.03994133934635,8250,23148.506,0.06,2713.868157,0.317,0.021,2.699283625,0.205,0.256,0.807,3.40546798706055
38890.03515625,70,FANG,2017-05-17,1887,WOLFCAMP B,7066,1770,53,301.801,301.801,231.138,231.138,4871.143,0.149197123856671,423.68,15948.239,0.063,2839.733026,0.605,0.024,2.504469528,0.188,0.245,0.807,4.29972648620605
61980.99609375,71,FANG,2015-12-31,2390,WOLFCAMP A,7471,1590,39,810.531,307.552,221.747,7.027,4638.805,2.95875428953204,8250,21973.017,0.057,2788.335628,0.319,0.021,2.662805174,0.203,0.266,0.805,3.4982316493988
20750.2109375,72,FANG,2017-04-28,1906,WOLFCAMP B,7666,1709,51,401.717,401.717,207.641,207.641,4849.959,0.156069462115063,433.674,15886.8525,0.06,2778.724256,0.585,0.024,2.501663264,0.185,0.251,0.807,4.49808216094971
181170,73,SURGE,2018-11-14,1341,WOLFCAMP A,9661,2096,40,1429.765,1043.947,12.613,19.158,4934.392,3.21998874088979,8250,16374.787,0.051,2562.12076,0.361,0.021,2.507262618,0.2,0.24,0.819,5.41371870040894
165509,74,COP,2018-02-14,1614,WOLFCAMP A,10481,1830,51,1154.827,1154.827,66.763,66.763,6741.176,1.90467193388645,8250,22161.654,0.049,4331.454595,0.358,0.011,2.375810138,0.189,0.315,0.966,6.42409706115723
262082,75,COP,2018-02-14,1614,SPRABERRY LOWER,10446,1872,55,1007.224,657.731,75.087,55.602,6192.228,2.93199337574777,7250,28998.331,0.055,2472.720457,0.384,0.011,2.753865482,0.231,0.126,0.966,6.61951065063477
118874,76,LARIO,2019-12-26,934,WOLFCAMP A,9815,1461,47,651.522,651.522,34.192,34.192,6381.392,2.53388000864176,8250,20997.395751677,0.073,3255.87635241744,0.420627450980391,0.017,5.52068939566247,0.277,0.175,0.722,5.58986663818359
36130,77,LARIO,2018-09-25,1391,WOLFCAMP B,9820,1951,52,2000,2000,500,500,6702.312,3.7758769429091e-02,175.573,6940.937,0.064,4649.860222,0.704,0.011,3.191431432,0.193,0.214,0.718,5.85195875167847
150094,78,CVX,2016-11-28,2057,WOLFCAMP B,7762,2000,46,1321.661,1154.82,3.552,2.504,6782.951,7.34251607431831e-02,312.24,11380.975,0.036,4252.493244,0.495,0.01,2.235678086,0.159,0.365,0.961,4.51309156417847
155024,79,CVX,2016-11-21,2064,WOLFCAMP B,7921,2019,46,987.105,987.105,4.599,4.599,6787.55,7.23089898528186e-02,312.24,10070.852,0.039,4318.135278,0.539,0.01,2.260524975,0.16,0.365,0.962,4.59768295288086
113096,80,CVX,2016-11-27,2058,WOLFCAMP B,7722,2015,46,756.328,756.328,23.698,23.698,6763.852,7.42041764928243e-02,325.099,14364.034,0.039,4381.141539,0.529,0.013,2.203084315,0.165,0.36,0.963,4.50632667541504
137568,81,CVX,2017-03-05,1960,WOLFCAMP B,7522,2110,48,877.261,415.573,13.786,13.786,6882.573,8.27029355394746e-02,325.099,10736.943,0.044,3930.924554,0.466,0.006,2.399046625,0.165,0.315,0.965,4.54441118240356
93950,82,CVX,2017-03-05,1960,WOLFCAMP B,7522,2022,46,878.902,623.01,148.66,47.408,6835.165,8.73074767288315e-02,346.599,10311.102,0.048,3969.86619,0.536,0.006,2.623258018,0.159,0.307,0.965,4.44067811965942
130387,83,CVX,2019-10-19,1002,SPRABERRY LOWER,7894,1542,39,442.336,442.336,201.877,201.877,6017.53,2.60449549825616,7250,19506.515,0.056,2783.648505,0.587,0.003,1.991094027,0.248,0.152,0.965,4.01520109176636
228920.015625,84,FANG,2017-02-10,1983,SPRABERRY LOWER,9761,1598,36,636.315,335.926,186.29,91.025,5189.743,2.85823877290916,7250,18746.408,0.057,2536.527063,0.543,0.014,2.259455191,0.224,0.149,0.85,5.12497663497925
246973,85,FANG,2017-02-11,1982,WOLFCAMP A,9721,1603,35,35.469,35.469,248.586,248.586,5471.298,3.05577162124452,8250,21029.599,0.066,2699.80909,0.415,0.012,2.804881884,0.225,0.107,0.853,5.16044425964355
190599,86,FANG,2017-02-16,1977,WOLFCAMP B,9741,1550,37,304.066,316.717,266.413,248.586,5719.884,6.34083506381267e-02,222.957,9164.491,0.051,3516.208792,0.612,0.015,2.78000017,0.193,0.19,0.85,5.14117288589478
219197,87,PXD,2016-02-08,2351,WOLFCAMP A,7667,1764,45,313.718,313.718,321.712,321.712,6579.682,1.95521065755421,8250,17525.917,0.041,4219.494185,0.425,0.012,2.286664923,0.159,0.385,0.934,5.38754749298096
199524,88,PXD,2016-10-10,2106,WOLFCAMP B,10479,1847,57,664.42,664.42,32.293,32.293,6918.664,8.80238283188996e-02,407.06,17151.052,0.052,4624.429632,0.531,0.014,4.502934888,0.159,0.309,0.933,7.4208779335022
154696.1875,89,PXD,2014-12-20,2766,WOLFCAMP B,4563,1769,41,2000,995.665,35.054,500,6967.592,8.7963346523668e-02,379.804,9669.955,0.034,4317.752962,0.578,0.012,2.306125702,0.148,0.351,0.936,3.67736387252808
